customer_id,first_name,last_name,email,phone,city,state,country,registration_date,age,gender,customer_segment,loyalty_points,is_email_verified
CUST00001,Elizabeth,Jones,user1@yahoo.com,+1-450-328-3286,New York,NY,USA,2022-06-22,43.0,Male,B2C,4467,True
CUST00002,James,Johnson,user2@outlook.com,+1-423-338-9279,Los Angeles,CA,USA,2023-10-18,36.0,Male,B2C,4597,True
CUST00003,Linda,Martinez,user3@gmail.com,+1-484-928-1106,San Diego,CA,USA,2023-10-14,35.0,,B2C,3462,True
CUST00004,Patricia,Garcia,user4@yahoo.com,,Phoenix,AZ,USA,2023-03-08,35.0,Male,B2B,2940,True
CUST00005,Elizabeth,Davis,user5@outlook.com,+1-749-227-7201,Los Angeles,CA,USA,2023-02-15,56.0,Male,B2C,4522,True
CUST00006,Patricia,Taylor,user6@gmail.com,+1-271-146-4733,Washington,DC,USA,2023-07-16,47.0,Non-binary,Wholesale,653,True
CUST00007,Robert,Davis,user7@yahoo.com,+1-850-954-6977,Fort Worth,TX,USA,2022-06-06,32.0,Female,B2C,3032,True
CUST00008,Elizabeth,Anderson,user8@outlook.com,+1-863-173-3803,Dallas,TX,USA,2022-11-22,44.0,Female,B2C,1338,False
CUST00009,David,Taylor,user9@gmail.com,+1-770-324-6313,Dallas,TX,USA,2023-08-13,40.0,Male,B2C,1876,True
CUST00010,Robert,Johnson,user10@yahoo.com,+1-416-680-6155,Fort Worth,TX,USA,2023-05-06,18.0,Female,B2C,4089,False
CUST00011,Robert,Williams,user11@outlook.com,+1-452-862-9830,Phoenix,AZ,USA,2023-12-14,25.0,Non-binary,B2C,4788,False
CUST00012,Patricia,Williams,user12@gmail.com,+1-721-605-2489,Jacksonville,FL,USA,2023-09-13,41.0,Male,B2C,898,True
CUST00013,Barbara,Johnson,user13@yahoo.com,+1-594-490-8668,Columbus,OH,USA,2022-09-06,55.0,Non-binary,B2C,4532,True
CUST00014,Robert,Anderson,user14@outlook.com,+1-548-214-5808,Denver,CO,USA,2022-06-27,35.0,Prefer not to say,B2C,1295,False
CUST00015,William,Williams,user15@gmail.com,+1-719-208-5889,Dallas,TX,USA,2022-01-06,31.0,Female,B2C,1252,True
CUST00016,William,Smith,user16@yahoo.com,,Denver,CO,USA,2022-09-08,39.0,Male,B2C,916,True
CUST00017,James,Brown,user17@outlook.com,+1-780-180-2403,San Diego,CA,USA,2023-04-23,30.0,Prefer not to say,B2C,566,True
CUST00018,William,Williams,user18@gmail.com,+1-471-640-7932,Indianapolis,IN,USA,2022-07-19,34.0,Female,B2C,4417,True
CUST00019,David,Anderson,user19@yahoo.com,+1-582-548-9479,Fort Worth,TX,USA,2023-04-30,37.0,Prefer not to say,B2C,991,True
CUST00020,Jennifer,Smith,user20@outlook.com,+1-802-667-4770,Chicago,IL,USA,2022-12-16,25.0,Female,B2B,58,True
CUST00021,Mary,Smith,user21@gmail.com,+1-538-172-9423,San Diego,CA,USA,2022-04-02,47.0,Female,B2C,2281,False
CUST00022,John,Taylor,user22@yahoo.com,+1-784-690-8744,Denver,CO,USA,2022-11-29,23.0,,B2C,3874,False
CUST00023,Mary,Anderson,user23@outlook.com,+1-641-462-7939,Houston,TX,USA,2022-10-23,,Prefer not to say,Wholesale,3825,True
CUST00024,Michael,Taylor,user24@gmail.com,+1-547-919-2790,Los Angeles,CA,USA,2022-06-02,40.0,Female,B2B,1569,True
